Store Name,Address,Location,Timings,Latitude,Longitude,Phone
Phoenix Palassio Mall,"T-35, Third Floor, Phoenix Palassio Mall, Sector 7, Gomti Nagar Extension, Amar Saheed Path, Gomti Nagar, Near Ekana Stadium, Lucknow, Uttar Pradesh, 226010",Uttar Pradesh,11:00 AM to 09:30 PM,,,7303842843
Shakti Chowk,"First Floor, 198/53, Sd Puram Colony, Gate No 1, Civil Lines 1, Shakti Chowk, Bijnor, Uttar Pradesh, 246701",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447830154
Mirzapur,"Giridhar Ka Chauraha, Badli Katra Road, Near City Kart, Mirzapur, Uttar Pradesh, 231001",Uttar Pradesh,10:00 AM to 09:00 PM,,,7393868630
VVIP Mall,"G 18, Vvip Mall, Nh 58, Raj Nagar Extension, Noor Nagar, Near Heera Sweets, Ghaziabad, Uttar Pradesh, 201001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891312
Panchsheel,"Shop No Gf 43 Ground Floor, Plot No Gh 1, Link Road, Greno West, Link Road, Near Guru Di Hatti, Greater Noida, Uttar Pradesh, 201306",Uttar Pradesh,11:00 AM to 09:30 PM,,,9643107980
Govindpuram,"Shop No 20 & 21, Gf, Signature Street, G Block, Govindpuram, Govindpuram, Ghaziabad, Uttar Pradesh, 201013",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929436779
Shalimar Gateway Mall Alambagh,"16 Ground Floor, Shalimar Gateway Mall, Alambagh, Beside Alambagh Bus Stand, Lucknow, Uttar Pradesh, 226005",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929277343
Hapur,"2423, Ground Floor, Nehru Chowk, Atarpura, Garh Road, Garh Road, Hapur, Uttar Pradesh, 245101",Uttar Pradesh,11:00 AM to 09:00 PM,,,9999203861
Kidwai Nagar,"133/155, M Block, Kidwai Nagar, Kidwai Nagar, Beside Bank Of Baroda, Kanpur, Uttar Pradesh, 208011",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929276286
Kamla Nagar,"32A/B71, 1St Floor, Semi Basement, Central Bank Road, Kamla Nagar, Kamla Nagar, Agra, Uttar Pradesh, 282005",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929306428
Mahagun Mart Shopping Complex,"Shop No 48, Plot No Gh04, , Mahagun Mart Shopping Complex, Gaur City 2, Greater Noida West, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891333
Fatehabad Road,"Groud Floor, Khasra No 1079 ,1375, & 1374, Mouza Basai Mustakil Tehil District, 30/6/20, K/1, Gower Chowki, Fatehabad Road, Agra, Uttar Pradesh, 282001",Uttar Pradesh,11:00 AM to 09:00 PM,,,5624092451
Flagship Store Great India Place Mall,"Shop No 46, 47, Ground Floor, Sector 38, Great India Place Mall 2, Opposite Tanishq, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891344
"Atta Market, Sector 18, Noida","G6 & G6A, Ground Floor, Jop Plaza, , Atta Market, Sector 18, Next To Metro Station Gate No 2, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891023
Abu Lane,"Ground Floor, C313, Abu Lane, Meerut, Uttar Pradesh, 250001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8447727685
Lajpat Nagar,"Ground Floor, Plot No 120/852, Narainpurwa, Lajpat Nagar, Lajpat Nagar, Kanpur, Uttar Pradesh, 208012",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447893843
"Sector 12, Vasundhara","Plot No 506, Ground Floor, Sector 12, Vasundhara, Opposite Sunrise Mall, Ghaziabad, Uttar Pradesh, 201012",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891374
Basharatpur,"UGF, JP Complex, Plot No 281A, Basharatpur, Near Passport Office, Gorakhpur, Uttar Pradesh, 273004",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929608628
Civil Lines,"Lg 4, Lower Ground Floor, Ram Raghu Palazzo, Church Road, Civil Lines Village Sarjepur, Civil Lines, Agra, Uttar Pradesh, 282002",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447731781
Shahjahanpur,"Nath Tower, Tareen Bahadur Ganj, Near Ghantaghar, Shahjahanpur, Uttar Pradesh, 242001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929342372
Swaroop Nagar,"Shop No G8 & G9, Ground Floor, House No 7/118, Tulsa Complex, Swaroop Nagar, Swaroop Nagar, Kanpur, Uttar Pradesh, 208002",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447745038
Hazratganj,"Shop No 4,5,6, Gobind Ram Son'S, Besides Marksmen Restaurant, Hazratganj, Besides Marskmen Restaurant, Lucknow, Uttar Pradesh, 226001",Uttar Pradesh,11:00 AM to 09:30 PM,,,9643241384
Logix Mall,"Shop No 10, Ground Floor, Plot No Bw 58, Logix City Center Mall, Sector 32, Opposite Haldiram'S, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,8588911397
Gumti No 05,"Upper Ground Floor, House No Old 119/548, New 119/1075, Darshanpurwa, Gumti No 05, Near Top Of The Town, Kanpur, Uttar Pradesh, 208012",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929306701
Sector 50,"Shop No B 1/50, , Sector 50, Noida, Near Noida Sector 50 Market, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891081
Gaur City Mall,"Shop No 10, First Floor, Gaur City Mall, Plot No C-01B-Gh-01, Sec 4, Greater Noida, Char Murti Chowk, Greater Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929421380
Chi V,"Shop No 07, Ground Floor, The Park Street, Express Park View Ii, Plot No Gh 03, Sector Chi V, Gautam Buddha Nagar, Sector Chi V, Greater Noida, Uttar Pradesh, 201310",Uttar Pradesh,11:00 AM to 09:30 PM,,,7065045092
Paota,"102/A, Main Mandore Road, Paota, Paota, Opposite Idfc First Bank, Jodhpur, Rajasthan, 342006",Rajasthan,11:00 AM to 09:30 PM,,,8929345598
Gumanpura,"Shop No 139, Ground Floor, Kotri Road, , Gumanpura, Opposite Reliance Jewels, Kota, Rajasthan, 324007",Rajasthan,11:00 AM to 09:30 PM,,,7428891116
Indiabull Mega Mall,"G 67, G 69, Indiabulls Mega Mall, Plot No 1, Pali Road, Vijay Raja Nagar, Indiabulls Mega Mall, Jodhpur, Rajasthan, 342005",Rajasthan,11:00 AM to 09:00 PM,,,8929270403
Shobhagpura,"01, Kh No 369, 370, 373, 375, Revenue Village, Shobhagpura, Udaipur, Rajasthan, 313011",Rajasthan,11:00 AM to 09:30 PM,,,7065045152
Sri Ganganagar,"18/19, Old Nh15, Rohit Udyog Complex, Sri Ganganagar, Rajasthan, 335001",Rajasthan,11:00 AM to 09:00 PM,,,7303376377
Kunhadi,"Plot No G-1,G-2, Shop No 1&2, Landmark City, Kunhadi, Kunhadi, Opposite Sangyan Gate No 3, Kota, Rajasthan, 324008",Rajasthan,11:00 AM to 09:30 PM,,,8447823524
Jhalawar Road,"Showroom 6, Ground Floor, Tripolis, Plot 2A, Jhalawar Road, Rajeev Gandhi Nagar Scheme, Jhalawar Road, Kota, Rajasthan, 324005",Rajasthan,11:00 AM to 09:30 PM,,,8929331301
Murlipura,"Shop No 57A & 58A, Road No 1, Bikaner Road, NHW 11, Murlipura, Jaipur, Rajasthan, 302039",Rajasthan,11:00 AM to 09:00 PM,,,8447894834
Patrakar Colony,"C31, 100 Feet Road Patrakar, Colony, Dholai, Mansarovar Extension, Patrakar Colony, Jaipur, Rajasthan, 302020",Rajasthan,11:00 AM to 09:00 PM,,,8929336557
Maharani Farms,"P No 37, Pratviraj Nagar, Maharani Farm, Durgapura, Durgapura, Jaipur, Rajasthan, 302018",Rajasthan,11:00 AM to 09:00 PM,,,8447805885
Vaishali Nagar,"B-105, Nemi Nagar Extension, Block A, Vaishali Nagar, , Vaishali Nagar, Jaipur, Rajasthan, 302021",Rajasthan,11:00 AM to 09:30 PM,,,8929708768
GT Central Mall,"Shop No 38, First Floor, Gt Central Mall, Plot No 4, Indira Place, Malviya Nagar, Malviya Nagar, Near Gaurav Tower, Jaipur, Rajasthan, 302017",Rajasthan,11:00 AM to 09:00 PM,,,9582241501
Tripolia Bazar,"Shop No 138, Chaura Rasta, Tripolia Bazaar, Tripolia Bazaar, Jaipur, Rajasthan, 302003",Rajasthan,11:00 AM to 09:00 PM,,,8447820167
Rangbari,"Joshi Tower, Plot No 9-F-23, Mahaveer Nagar 3, Rangbari, Rangbari, Kota, Rajasthan, 324005",Rajasthan,11:00 AM to 09:30 PM,,,8929340422
Vidyadhar Nagar,"Shop No 12, 19 & 20, Ganpati Paradise, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Rajasthan, 302039",Rajasthan,11:00 AM to 09:30 PM,,,9311773747
Subhash Nagar,"A87, Subhash Nagar Shopping Centre, Hotel Marudhar Complex, Subhash Nagar, Jaipur, Rajasthan, 302032",Rajasthan,11:00 AM to 09:30 PM,,,8929210978
Chitrakoot,"S1, Tn Towers 10/165, Chitrakoot Marg, Vaishali Nagar, Opposite V Mart, Jaipur, Rajasthan, 302021",Rajasthan,11:00 AM to 09:30 PM,,,8929172623
Nai sadak,"Shop No 163, Nai Sadak , Obct Scheme, , Nai Sadak, Jodhpur, Rajasthan, 342006",Rajasthan,11:00 AM to 09:00 PM,,,8929435319
Nagori Garden,"G-10, Fateh Tower, , Nagori Garden, Near City Post Office, Bhilwara, Rajasthan, 311001",Rajasthan,11:00 AM to 09:00 PM,,,7428890219
Gumanpura,"Ground Floor, Plot No 97, Shopping Centre, Opposite Bharat Hotel, Gumanpura, Kota, Rajasthan, 324007",Rajasthan,11:00 AM to 09:30 PM,,,8955586663
Sardarpura,"Plot No 208,1St C Road, Sardarpura, , Sardarpura, Near Azad Hind College, Jodhpur, Rajasthan, 342001",Rajasthan,11:00 AM to 09:30 PM,,,7428890234
Raja Park,"Plot No 11/1, Ground Floor, Govind Marg Anand Puri, Raja Park, Raja Park, Jaipur, Rajasthan, 302004",Rajasthan,11:00 AM to 09:30 PM,,,9711991502
Gopalpura,"Plot No 1, Ground Floor, Shakti Nagar, Goplapura Bypass, , Goplapura, Near Triveni Chauraha, Jaipur, Rajasthan, 302019",Rajasthan,11:00 AM to 09:30 PM,,,8929441431
Mansarovar,"Shop No 80/91, Madhyam Marg, Patel Marg, Mansarovar, Opposite Mansarovar Plaza, Jaipur, Rajasthan, 302020",Rajasthan,11:00 AM to 09:30 PM,,,7428890253
Talwandi,"Plot No 4, P6 , Ground Floor, Talwandi, Adjacent To Rajasthan Juice Centre, Kota, Rajasthan, 324005",Rajasthan,11:00 AM to 09:30 PM,,,8587908928
Pratap Nagar,"Ground Floor, First Floor, Second Floor & Terrace Floor, Plot No 1, Sector 8, Pratap Nagar, Tonk Road, Jaipur, Rajasthan, 302033",Rajasthan,11:00 AM to 09:30 PM,,,1414372074
Jagatpura,"G 08 & 09, R Tech Capital High Street, Plot No C, Main Mahal Road, Jagatpura, Jagatpura, Jaipur, Rajasthan, 302017",Rajasthan,11:00 AM to 09:30 PM,,,8929344657
"Ashok Nagar, Udaipur","Shop No 7, 56 Amrit Shree, Main Road, , Ashok Nagar, Udaipur, Near Jain Temple, Udaipur, Rajasthan, 313001",Rajasthan,11:00 AM to 09:30 PM,,,7428891331
Tonk Road,"Shop No 20, Src-20, Yojna No 4, Lalkothi, Gandhi Nagar, Tonk Road, Near Milestone Mall, Jaipur, Rajasthan, 302015",Rajasthan,11:00 AM to 09:30 PM,,,7428890281
Khatipura,"Badaya Bhwana, Plot No 5, Khatipura Road, Jhotwara, Khatipura, Opposite To Gordhan Sky Mall, Jaipur, Rajasthan, 302012",Rajasthan,11:00 AM to 09:00 PM,,,8447731267
World Trade Park Mall,"Second Floor, World Trade Park Mall, Malviya Nagar, Opposite Hamleys Toys, Jaipur, Rajasthan, 302017",Rajasthan,11:00 AM to 09:30 PM,,,7428891339
MI Road,"Shop No 317, , Mi Road, Near Mi Road Post Office, Jaipur, Rajasthan, 302001",Rajasthan,11:00 AM to 09:30 PM,,,7428891342
Panchwati,"Ground Floor, Isckon Central, Shop No 5 & 6, Plot No 34, Panchwati, Near Panchwati Puliya, Udaipur, Rajasthan, 313001",Rajasthan,11:00 AM to 09:00 PM,,,8447902932
Hanumangarh,"Shop No 13, Mahavir Colony, Ganganagar Road, Near ICICI Bank, Hanumangarh Junction, Rajasthan, Rajasthan, 335512",Rajasthan,11:00 AM to 09:00 PM,,,9711271330
Ratanada Jodhpur,"Shop No 1, Ground Floor, Bhati Complex, Bhati Chairaha, Ratanada, Jodhpur, Rajasthan, 342011",Rajasthan,11:00 AM to 09:30 PM,,,8929338194
Nexus Celebration Mall,"Lg-16, Lower Ground Floor, Bhuwana, Forum Celebration Mall, Near Big Bazaar, Udaipur, Rajasthan, 313004",Rajasthan,11:00 AM to 09:30 PM,,,7428891373
Gandhi Path West,"Plot Ground Floor, Deepak Vatika, Gandhi Path West, Vaishali Nagar, Vaishali Nagar, Jaipur, Rajasthan, 302021",Rajasthan,11:00 AM to 09:00 PM,,,8929302312
Kalwar Road,"Pandit Ji Ki Thadi, Kalwar Road, Sanjay Nagar A, Suraj Nagar, Jhotwara, Kalwar Road, Near Hotel Manohar Palace, Jaipur, Rajasthan, 302012",Rajasthan,11:00 AM to 09:30 PM,,,8447931016
Vaishali Nagar,"Plot No 236, Shop No G1, Ground Floor, Hanuman Nagar, D Block, Vaishali Nagar, Vaishali Nagar, Jaipur, Rajasthan, 302021",Rajasthan,11:00 AM to 09:30 PM,,,8929327926
Mansarover,"61/253, Rajat Path, Mansarovar, Sector 5, Jaipur, Rajasthan, 302020",Rajasthan,11:00 AM to 09:30 PM,,,8929167902
"Gaurav Tower, Malviya Nagar","Shop No 16, Ground Floor, Gaurav Tower, Malviya Nagar, Near Crystal Court Mall, Jaipur, Rajasthan, 302017",Rajasthan,11:00 AM to 09:30 PM,,,7428891087
Ajmer Road,"Shop No 1G And 2B, Swaroop Colony, Ajmer Road, Ajmer Road, Jaipur, Rajasthan, 302006",Rajasthan,11:00 AM to 09:30 PM,,,8447746245
Shyam Nagar,"Plot No 89, Janpath,, Shyam Nagar, Shyam Nagar, Sparsh Saloon & Chum Bakk Bakery, Jaipur, Rajasthan, 302019",Rajasthan,11:00 AM to 09:30 PM,,,8929607627
Sikar,"G-1, Ground Flour, Spn And Company, Bhaskar Mega Mall, Station Road, Station Road, Bhaskar Mega Mall, Sikar, Rajasthan, 332001",Rajasthan,11:00 AM to 09:00 PM,,,9810461371
Sanganer,"Shop No 12 & 13, Diggi Malpura Road, Sanganer, Jaipur, Rajasthan, 302029",Rajasthan,11:00 AM to 09:00 PM,,,8447893192
Chittorgarh,"New Puliya, Near Tvs Showroom, New Puliya, Chittorgarh, Rajasthan, 312001",Rajasthan,11:00 AM to 09:00 PM,,,9870161377
Nirman Nagar,"78, Everest Vihar, Kings Road, Nirman Nagar, Nirman Nagar, Opposite Om Hotel, Jaipur, Rajasthan, 302019",Rajasthan,11:00 AM to 09:30 PM,,,8929289663
Alwar Rajasthan,"Plot No 152/153, Jai Complex, Road No 2, Bhagat Singh Circle, Arya Nagar, Alwar, Rajasthan, 301001",Rajasthan,11:00 AM to 09:00 PM,,,9654910313
93 Avenue Mall Pune,"Shop No 2, Ground Floor, 93 Avenue Mall, Fatima Nagar, Kalubai Chowk, Pune, Maharashtra, 411022",Maharashtra,11:00 AM to 09:30 PM,,,9582331365
Nalasopara West,"Shop No 14, Aster Apartment, Nalasopara West, Nalasopara, Near Shri Prashtha, Mumbai, Maharashtra, 401203",Maharashtra,11:00 AM to 09:00 PM,,,8447731721
Satara,"Shop No 2, Rajpath, Rajeshpura Road, Sadshiv Peth, Rajpath, Satara, Maharashtra, 415002",Maharashtra,11:00 AM to 09:30 PM,,,8929271730
Gauri Pada,"Shop No 3 & 4, Hari Om Apt, Dhamankar Naka, Gauri Pada, Opposite Bsnl Office, Bhiwandi, Maharashtra, 421302",Maharashtra,11:00 AM to 09:00 PM,,,7065045210
Rajarampuri,"Shop No 1, Ground Floor, 1754 E, Ward Sripati Apartment, Rajarampuri 4Th Lane, Rajarampuri, Kolhapur, Maharashtra, 416003",Maharashtra,11:00 AM to 09:30 PM,,,7428890012
Kamothe,"Shop No 10, Uma Shiv Corner, Plot No 22 & 22A, Sector 19, Kamothe, Navi Mumbai, Maharashtra, 410206",Maharashtra,11:00 AM to 09:30 PM,,,8929435317
Nepean Sea Road,"Plot 16A, Shop No 3, Grond Floor, Alaknanda Apartment, Nepeansea Road, Near Malabar Hill, Mumbai, Maharashtra, 400006",Maharashtra,11:00 AM to 09:00 PM,,,8929345027
Khopoli,"Shop No 7 & 8 Ashiyana Infinity, Mulgoan, Shri Ram Nagar, Mumbai Pune Highway, Shri Ram Nagar, Khopoli, Maharashtra, 410203",Maharashtra,11:00 AM to 09:00 PM,,,8929328378
Bhoomi Mall Belapur,"Shop No 27, Bhoomi Mall, Sector 15, Palm Beach Road Cbd Belapur, Belapur, Navi Mumbai, Maharashtra, 400614",Maharashtra,11:00 AM to 09:30 PM,,,8588921425
Poonam Cluster,"Shop No 37, 38 & 39, Ground Floor, Poonam Estate Cluster 2, Building No 3, Mira Road, Near Shanti Chowk, Thane, Maharashtra, 401107",Maharashtra,11:00 AM to 09:00 PM,,,8373901430
Elpro City Square Mall,"G 17, Ground Floor, Elpro City Square Mall, Chinchwad Gaon, Pune, Maharashtra, 411033",Maharashtra,11:00 AM to 09:30 PM,,,8448420421
Badlapur,"Shop No 15 & 16, Dream Makers By Kasturi Life Space, Station Road, Katrap, Badlapur East, Badlapur East, Thane, Maharashtra, 421503",Maharashtra,11:00 AM to 09:30 PM,,,9667042043
Kandivali West,"Shop No 35, Profit Center, Boraspada Road, Kandivali West, Opposite Panchsheel Heights, Mumbai, Maharashtra, 400067",Maharashtra,11:00 AM to 09:00 PM,,,7428891118
Kharghar,"Shop No 7, Ground Floor, The Crown Plaza, Gharkul, Sector-15, Kharghar, Sector-15, Kharghar, Near D Mart, Navi Mumbai, Maharashtra, 410210",Maharashtra,11:00 AM to 09:30 PM,,,9319364916
Baramati,"Gat No-279/1/ B, Plot No, 4/5, Building Ajinkya‚ Bazar, Bhigwan Road, Near Axis Bank, Baramati, Maharashtra, 413102",Maharashtra,11:00 AM to 09:30 PM,,,7065045379
Fort,"Shop No 46, Ground Floor, Islam Building, , Hutatma Chowk, Fort, Near Flora Fountain, Mumbai, Maharashtra, 400001",Maharashtra,11:00 AM to 09:00 PM,,,7428891119
Santcruz West,"Shop No 1, Dheeraj Heritage, Best Colony, Juhu, Santacruz West, Best Colony, Opposite Kenia Hospital, Mumbai, Maharashtra, 400054",Maharashtra,11:00 AM to 09:00 PM,,,9319363645
Mahim,"Shop No 3, 4 & 5, Liliyan House, 145 B, L J Road, Mahim, Mumbai, Maharashtra, 400016",Maharashtra,11:00 AM to 09:30 PM,,,7428891120
Breach Candy,"Shop No 5, Nanik Niwas Building, Bhulabhai Desai Road, Breach Candy, Opposite Tata Garden, Mumbai, Maharashtra, 400026",Maharashtra,11:00 AM to 09:00 PM,,,7428891121
Tarabai Park,"Shop No 1, Shweta Apartment, Damini Hotel Road, Tarabai Park, Tarabai Park, Near Sasane Ground, Kolhapur, Maharashtra, 416003",Maharashtra,11:00 AM to 09:30 PM,,,8929277342
Runwal,"Shop No 9, Runwal Anthurium, Lbs Road, Runwal, Mulund, Maharashtra, 400080",Maharashtra,11:00 AM to 09:00 PM,,,7065095850
Medical College Chowk,"Shop No 2 & 3, Vinayak Tower, Untkhana Road, Medical Square, Medical College Chowk, Nagpur, Maharashtra, 440009",Maharashtra,11:00 AM to 09:00 PM,,,9870561562
"Khanda Colony, Panvel","Shop Number 14/15, Tulsi Harmony, Sector 1, Khanda Colony, Greater Khanda, Panvel, Opposite Sai Prasad Hotel, Navi Mumbai, Maharashtra, 410206",Maharashtra,11:00 AM to 09:30 PM,,,8447732042
Ulhasnagar,"Shop No 4, Yash Apartment, C-Block Road, Goal Maidan, , Goal Maidan, Near Natural Ice Cream, Ulhasnagar, Maharashtra, 421001",Maharashtra,11:00 AM to 09:30 PM,,,9319371823
Lal Chowky,"Shop No 9 & 24 Ground Floor, Sunsoman Square, Agra Road, Lal Chowky, Opposite Indus Bank, Kalyan West, Maharashtra, 421301",Maharashtra,11:00 AM to 09:00 PM,,,7065035390
Malad West,"Unit No 1, Simplex Khush Angan, Sv Road, Malad West, Opposite L M Patel Rotary Eye Hospital, Mumbai, Maharashtra, 400064",Maharashtra,11:00 AM to 09:00 PM,,,7428891130
Viviana Mall Thane,"Unit No Sf 17A, 2Nd Floor, Viviana Mall, , Thane West, Next To Cinepolis, Thane, Maharashtra, 400601",Maharashtra,11:00 AM to 09:30 PM,,,7428891131
Amboli,"Shop No 2, Ground Floor, Mayfair Meridian, Amboli, Andheri West, Caeser Road, Mumbai, Maharashtra, 400058",Maharashtra,11:00 AM to 09:00 PM,,,7428891132
Juhu Tara Road,"Shop No 12, Vasant Bahar Chs Ltd, Juhu Tara Road, Juhu, Juhu Tara Road, Near Hotel Sea Princess, Mumbai, Maharashtra, 400049",Maharashtra,11:00 AM to 09:00 PM,,,9319362715
Ambernath,"Shop Number 13 & 14, Plot No 63 & 64, Cts, Panvelkar Pride, Shivaji Road, Kansai Section, Ambernath, Opposite Idbi Bank, Ambernath, Maharashtra, 421501",Maharashtra,11:00 AM to 09:00 PM,,,8929762047
Lower Parel,"Shop No 2, Sanghvi Building, Ganpar Rao Marg, Lower Parel, Near Dmart, Mumbai, Maharashtra, 400013",Maharashtra,11:00 AM to 09:00 PM,,,8929271737
Koregaon Park,"1 B, Gera Sterling North Main Road, Koregaon Park, Koregaon Park, Pune, Maharashtra, 411001",Maharashtra,11:00 AM to 09:30 PM,,,8929287708
Kalamboli,"Shop No 23, Ground Floor, Neelsiddhi‚ Amarante Chs Ltd, Plot No 4, Sector 9E, Roadpalli, Kalamboli, Roadpalli, Kalamboli, Besides Manoj Medical, Navi Mumbai, Maharashtra, 410218",Maharashtra,11:00 AM to 09:00 PM,,,9319361975
Undri,"Shop No 1, S No 57/2/1A, Market Place, Vtp Urbban Nest, Hadapsar Bypass Road, Undri Chowk, Undri Chowk, Opposite Amit Colony Katraj, Pune, Maharashtra, 411060",Maharashtra,11:00 AM to 09:30 PM,,,9311773735
Panchanand Taloja,"Shop No 9, Plot No 15-18, Panchnand Heights, Sector 9, Taloja, Opposite Shree Royal Chemist, Navi Mumbai, Maharashtra, 410208",Maharashtra,11:00 AM to 09:00 PM,,,7065053054
Atria Mall,"Shop No 42, Ground Floor, Atria Mall, Dr. Annie Bishant Road, Worli, Worli, Atria Mall, Mumbai, Maharashtra, 400018",Maharashtra,11:00 AM to 09:30 PM,,,7303350351
Dombivali,"Shop No 6, Kanchan Dhara Society, Raghuveer Nagar, Dombivali East, Opposite Godrej Showroom, Manpada Road, Mumbai, Maharashtra, 421201",Maharashtra,11:00 AM to 09:00 PM,,,7428891151
